Date,Atchison70ETF,SAA Target,Peer Group
2022-12-31,6.132904567026687,4.981602941506669,4.519595247791974
2023-01-31,5.4047555092645805,2.9672345430074687,4.602446698060003
2023-02-28,0.9943467489945235,0.6756900336968741,0.33043789308484506
2023-03-31,3.659767906121769,4.911741207370679,3.890202460716985
2023-04-30,1.9485069066017768,3.709891286269329,1.6439089386369066
2023-05-31,1.7384905483801338,3.3295041967452255,1.5557785206071317
2023-06-30,2.141728328128223,3.0880040926330787,1.8875026168769793
2023-07-31,2.8326807236060514,3.3534927485136645,2.116683498973093
2023-08-31,3.447567093435122,3.8477895815555607,2.999501949714234
2023-09-30,-0.5288740138286396,-0.40903534286675924,-1.0405101184764454
2023-10-31,-5.22719552838945,-4.908208171362194,-4.811062732124305
2023-11-30,-0.9624809285737168,-0.9686900426840395,-0.9637920608828177
2023-12-31,5.803251276507182,6.046548259520024,5.506601160953495
2024-01-31,10.151060341679429,9.983452631671085,9.040475222560929
2024-02-29,7.5734393511614595,6.7654631937640985,7.066822384812466
2024-03-31,6.242988979482433,5.279088467312554,5.897306985375805
2024-04-30,2.5386824027803456,1.9623296164170911,2.198588684642222
2024-05-31,1.5847866432174174,1.2473997300454842,1.189817349896738
2024-06-30,0.376072525844906,0.13061242992509214,-0.5078327751175782
2024-07-31,5.135687936291244,4.71378384816219,4.586241991873008
2024-08-31,4.231581000141804,4.3737253890605565,3.7753646348095193
2024-09-30,4.582728285171744,4.623074752797018,4.564445449039112
2024-10-31,2.0466025039365565,2.262536685626615,1.6510502592647303
2024-11-30,4.403632235772625,3.9706872473829202,4.05086843284872
2024-12-31,1.8912048206789933,1.4653146798871752,1.456794682422391
2025-01-31,4.76927899879791,3.465726184125284,3.935046299936018
2025-02-28,0.5907843360087872,0.11675632166692207,0.36098571828613313
2025-03-31,-0.920672890544838,-1.2023221579195997,-0.9899976138235234
2025-04-30,-2.702339757694794,-2.2356472297441976,-2.508474898662849
2025-05-31,1.942898322078146,1.825796151403214,1.2899053732329246
